Rentrée scolaire;Code région;Région;Code académie;Académie;Code du département;Département;Code INSEE de la commune;Nom de la commune;UAI;Nom de l'établissement;Secteur;IPS;Ecart type de l'IPS;IPS national privé;IPS national public;IPS national;IPS académique privé;IPS académique public;IPS académique;IPS départemental privé;IPS départemental public;IPS départemental;num_ligne
2022-2023;01;AUVERGNE-RHONE-ALPES;10;LYON;01;AIN;01053;BOURG EN BRESSE;0010966V;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE PHILIBERT COMMERSON;public;80.6;23.3;NA;81.8;81.8;NA;81.9;81.9;NA;80.6;80.6;1.0
2022-2023;16;OCCITANIE;16;TOULOUSE;12;AVEYRON;12300;VILLEFRANCHE DE ROUERGUE;0121178R;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE VILLEFRANCHE DE ROUERGUE;public;82.9;23.9;NA;81.8;81.8;NA;80.7;80.7;NA;82.9;82.9;5.0
2022-2023;18;PROVENCE-ALPES-COTE D'AZUR;02;AIX-MARSEILLE;13;BOUCHES-DU-RHONE;13071;LES PENNES MIRABEAU;0132343B;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LOUIS ARAGON;public;81.1;25.4;NA;81.8;81.8;NA;81.4;81.4;NA;81.1;81.1;6.0
2022-2023;15;NOUVELLE-AQUITAINE;13;POITIERS;16;CHARENTE;16271;PUYMOYEN;0160968R;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;public;76.6;17.7;NA;81.8;81.8;NA;77.5;77.5;NA;76.6;76.6;9.0
2022-2023;15;NOUVELLE-AQUITAINE;13;POITIERS;17;CHARENTE-MARITIME;17415;SAINTES;0170392J;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE THEODORE MONOD;public;77.7;19.4;NA;81.8;81.8;NA;77.5;77.5;NA;77.7;77.7;10.0
2022-2023;03;BRETAGNE;14;RENNES;35;ILLE-ET-VILAINE;35236;REDON;0350732F;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE JEAN BART;public;79.8;25.9;NA;81.8;81.8;NA;79.9;79.9;NA;76.6;76.6;22.0
2022-2023;03;BRETAGNE;14;RENNES;35;ILLE-ET-VILAINE;35238;RENNES;0350747X;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE MAGDA HOLLANDER LAFON;public;73.3;19.9;NA;81.8;81.8;NA;79.9;79.9;NA;76.6;76.6;23.0
2022-2023;04;CENTRE-VAL DE LOIRE;18;ORLEANS-TOURS;36;INDRE;36044;CHATEAUROUX;0360050J;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE ERIC TABARLY;public;74.2;21.7;NA;81.8;81.8;NA;77.5;77.5;NA;74.2;74.2;24.0
2022-2023;01;AUVERGNE-RHONE-ALPES;08;GRENOBLE;38;ISERE;38111;CLAIX;0382107J;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE PIERRE RABHI;public;86.2;25.3;NA;81.8;81.8;NA;82.3;82.3;NA;86.2;86.2;25.0
2022-2023;02;BOURGOGNE-FRANCHE-COMTE;03;BESANCON;39;JURA;39183;CROTENAY;0390055Y;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LA MORAINE;public;77.9;21.1;NA;81.8;81.8;NA;77.9;77.9;NA;77.9;77.9;26.0
