Rentrée scolaire;Académie;Code du département;Département;UAI;Nom de l'établissment;Code INSEE de la commune;Nom de la commune;Secteur;IPS;Ecart-type de l'IPS
2021-2022;AMIENS;002;AISNE;0021478W;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;02691;SAINT QUENTIN;public;64.3;18.4
2021-2022;NORMANDIE;014;CALVADOS;0141420T;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE YVONNE GUEGAN;14327;HEROUVILLE SAINT CLAIR;public;68.2;18.1
2021-2022;BORDEAUX;024;DORDOGNE;0240112S;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE JOËL JEANNOT;24557;TRELISSAC;public;70.8;26.1
2021-2022;BESANCON;025;DOUBS;0251371E;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE SIMONE VEIL;25056;BESANCON;public;69.3;25.6
2021-2022;RENNES;029;FINISTERE;0290347V;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LOUISE MICHEL;29232;QUIMPER;public;70.7;18.9
2021-2022;MONTPELLIER;034;HERAULT;0340833W;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE JEAN JACQUES ROUSSEAU;34172;MONTPELLIER;public;78.3;30.9
2021-2022;RENNES;035;ILLE-ET-VILAINE;0350747X;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE MAGDA HOLLANDER LAFON;35238;RENNES;public;67.1;19.2
2021-2022;BORDEAUX;040;LANDES;0400094K;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE NICOLAS BREMONTIER;40281;SAINT PIERRE DU MONT;public;79.1;26.9
2021-2022;ORLEANS-TOURS;045;LOIRET;0451104F;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE SIMONE VEIL;45004;AMILLY;public;74.9;25.2
2021-2022;REIMS;051;MARNE;0511106A;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE BOURNEVILLE;51108;CHALONS EN CHAMPAGNE;public;71.6;23.6
2021-2022;RENNES;056;MORBIHAN;0560217G;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LES PINS;56162;PLOEMEUR;public;70.7;20.5
2021-2022;LILLE;059;NORD;0594380R;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE DEFICIENTS INTELLECTUELS LEGERS HANDICAPES SOCIAUX COLETTE MAGNY;59367;LYS LEZ LANNOY;public;65.8;19.6
2021-2022;LILLE;059;NORD;0594541R;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE DEFICIENTS VISUELS IGNACE PLEYEL;59360;LOOS;public;88.1;39.8
2021-2022;LILLE;062;PAS-DE-CALAIS;0620229M;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE ANTOINE DE SAINT EXUPERY;62108;BERCK;public;88.3;33.4
2021-2022;STRASBOURG;067;BAS-RHIN;0671455T;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE HENRI EBEL;67218;ILLKIRCH GRAFFENSTADEN;public;72.3;25.5
2021-2022;GRENOBLE;073;SAVOIE;0730811K;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE AMELIE GEX;73065;CHAMBERY;public;71.4;22.7
2021-2022;NORMANDIE;076;SEINE MARITIME;0762211R;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE FRANCOISE DOLTO;76681;SOTTEVILLE LES ROUEN;public;66.0;19.1
2021-2022;CRETEIL;077;SEINE-ET-MARNE;0770342D;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE DE CHAMIGNY GARCON;77078;CHAMIGNY;public;86.8;32.1
2021-2022;POITIERS;079;DEUX-SEVRES;0790979K;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE FRANCOISE DOLTO;79239;SAINT AUBIN LE CLOUD;public;72.4;20.1
