dept;UAI;etablissement;type;IPS
093;0932581A;Collège international de l'Est parisien;Collège;134.8
093;0931439J;Collège Marie Curie;Collège;111.6
093;0931612X;Collège Jean Zay;Collège;71.7
093;0931429Y;Collège Jean Vilar;Collège;77.2
093;0931216S;Collège Jean Jaurès;Collège;72.5
093;0930100D;Collège Éric Tabarly;Collège;103.6
093;0931434D;Collège Claude Debussy;Collège;77.9
093;0932261C;Collège Joséphine Baker;Collège;85.5
093;0931723T;Collège Langevin Wallon;Collège;87
093;0931149U;Collège Pierre de Ronsard;Collège;95.7
093;0931195U;Collège Auguste Delaune;Collège;78.7
093;0932694Y;Collège Gisèle Halimi;Collège;76.2
093;0930893R;Collège Roger Martin du Gard;Collège;78.4
093;0931224A;Collège Pablo Neruda;Collège;77.8
093;0930089S;Collège Anatole France;Collège;89.3
093;0932334G;Collège Lucie Aubrac;Collège;83.2
093;0932580Z;Collège Jacqueline de Romilly;Collège;86.3
093;0931485J;Collège Georges Braque;Collège;80.7
093;0930629D;Collège Jean-Baptiste Corot;Collège;128.9
093;0931184G;Collège Jean Moulin;Collège;77.9
093;0931201A;Collège Paul Bert;Collège;86.4
093;0930859D;Collège Gérard Philipe;Collège;89.5
093;0931860S;Collège Pierre Brossolette;Collège;82.8
093;0931229F;Collège Fabien;Collège;80.4
093;0931765N;Collège Alfred Sisley;Collège;80.5
093;0931147S;Collège Barbara;Collège;78.9
093;0930883E;Collège Saint-Exupéry;Collège;109
093;0932333F;Collège François Mitterrand;Collège;106.5
093;0931222Y;Collège Pierre-André Houël;Collège;94.1
093;0932725G;Collège Françoise Héritier;Collège;89.5
093;0931143M;Collège Jean Jaurès;Collège;92.1
093;0931220W;Collège Travail Langevin;Collège;86.5
093;0931226C;Collège Pablo Neruda;Collège;78.9
093;0931221X;Collège Louise Michel;Collège;74.3
093;0931979W;Collège Georges Brassens;Collège;86
093;0931187K;Collège Didier Daurat;Collège;81
093;0931188L;Collège Raymond Poincaré;Collège;79
093;0931206F;Collège Jean Vilar;Collège;71
093;0932311G;Collège Théodore Monod;Collège;93.4
093;0930586G;Collège Albert Camus;Collège;97.7
093;0930611J;Collège Nelson Mandela;Collège;94.6
093;0930884F;Collège Aimé et Eugénie Cotton;Collège;88.3
093;0931191P;Collège Romain Rolland;Collège;99.6
093;0932696A;Collège Sòlveig Anspach;Collège;101.6
093;0931978V;Collège Victor Hugo;Collège;90.3
093;0930616P;Collège Romain Rolland;Collège;73.3
093;0932263E;Collège Camille Claudel;Collège;83.5
093;0932273R;Collège Iqbal Masih;Collège;79.2
093;0930619T;Collège Édouard Herriot;Collège;93.2
093;0931377S;Collège Jacques Jorissen;Collège;71.7
093;0931217T;Collège Irène et Frédéric Joliot Curie;Collège;99.6
093;0931707A;Collège Pablo Picasso;Collège;91.1
093;0930865K;Collège Jean Lurçat;Collège;77
093;0932310F;Collège Christine de Pisan;Collège;79.4
093;0932579Y;Collège Césaria Evora;Collège;92.6
093;0931199Y;Collège Aretha Franklin (ex Paul Langevin);Collège;82.3
093;0931230G;Collège Elsa Triolet;Collège;82.6
093;0931204D;Collège Marcel Cachin;Collège;76
093;0931214P;Collège Clos Saint-Vincent;Collège;104.5
093;0931181D;Collège Georges Politzer;Collège;91.5
093;0931210K;Collège Marcelin Berthelot;Collège;119.9
093;0930620U;Collège Léon Jouhaux;Collège;95.6
093;0930593P;Collège Saint-Exupéry;Collège;103.6
093;0931196V;Collège Angela Davis;Collège;87.7
093;0931151W;Collège Jean Moulin;Collège;96.3
093;0930891N;Collège Victor Hugo;Collège;80
093;0930858C;Collège Pablo Neruda;Collège;100
093;0931497X;Collège René Descartes;Collège;86.1
093;0931614Z;Collège Jacques Prévert;Collège;88.6
093;0931228E;Collège Albert Camus;Collège;98
093;0930623X;Collège Jean Moulin;Collège;107.3
093;0931231H;Collège Pierre de Geyter;Collège;93.2
093;0932726H;Collège Miriam Makeba;Collège;88.7
093;0931212M;Collège Oum Kalthoum;Collège;81.1
093;0931144N;Collège Jules Michelet;Collège;85.4
093;0932582B;Collège Dora Maar;Collège;82.1
093;0930043S;Collège Jean de Beaumont;Collège;93.8
093;0931192R;Collège Les Mousseaux;Collège;89.1
093;0931610V;Collège Jacques Prévert;Collège;88.4
093;0931489N;Collège Federico Garcia Lorca;Collège;76.8
093;0931005M;Collège Pierre Curie;Collège;84.8
093;0931145P;Collège Robespierre;Collège;86.4
093;0930900Y;Collège Jean-Pierre Timbaud;Collège;74.8
093;0932272P;Collège Rosa Luxembourg;Collège;76
093;0931148T;Collège Georges Politzer;Collège;83.3
093;0932262D;Collège de la Pléiade;Collège;80.9
093;0932578X;Collège Simone Veil;Collège;104.9
093;0931883S;Collège René Cassin;Collège;84.8
093;0931232J;Collège Henri Barbusse;Collège;83.8
093;0931546A;Collège Jean Jaurès;Collège;89.1
093;0931382X;Collège Eugène Carrière;Collège;123.2
093;0930894S;Collège Honoré de Balzac;Collège;91.4
093;0931223Z;Collège Gustave Courbet;Collège;78.4
093;0931227D;Collège Louis Pasteur;Collège;103.9
093;0932966U;Collège Niki de Saint Phalle;Collège;45
093;0931225B;Collège Joliot Curie;Collège;77.1
093;0931194T;Collège République;Collège;79.9
093;0931200Z;Collège Pierre Sémard;Collège;83.6
093;0931218U;Collège Jean Lolive;Collège;82
093;0931189M;Collège Le Parc;Collège;102.8
093;0931213N;Collège Colonel Fabien;Collège;88.9
093;0931788N;Collège Henri Sellier;Collège;85.9
093;0931376R;Collège Jean-Baptiste Clément;Collège;89
093;0931202B;Collège Liberté;Collège;81.8
093;0931190N;Collège Évariste Galois;Collège;74.3
093;0932301W;Collège Henri IV;Collège;99.1
093;0931428X;Collège Jean Vigo;Collège;75
093;0932038K;Collège Françoise Dolto;Collège;90.2
093;0931209J;Collège Georges Politzer;Collège;78.5
093;0931713G;Collège Antoine Laurent de Lavoisier;Collège;93.1
093;0931607S;Collège Jean Jaurès;Collège;88.7
093;0932454M;Collège Lucie Aubrac;Collège;101.4
093;0931433C;Collège René Descartes;Collège;77.8
093;0931219V;Collège Jean-Jacques Rousseau;Collège;97.9
093;0931211L;Collège Marais de Villiers;Collège;94.7
093;0931448U;Collège Paul Éluard;Collège;111.6
093;0931185H;Collège Gabriel Péri;Collège;74.2
093;0931207G;Collège Évariste Galois;Collège;80.3
093;0931490P;Collège La Courtille;Collège;71.7
093;0930897V;Collège Paul Painlevé;Collège;76
093;0931379U;Collège Pablo Neruda;Collège;75.5
093;0930892P;Collège Anatole France;Collège;92.9
093;0930898W;Collège Madame de Sévigné;Collège;96.4
093;0932695Z;Collège Germaine Tillion;Collège;97.1
093;0932366S;Collège Robert Doisneau;Collège;76.6
093;0931381W;Collège Gustave Courbet;Collège;98.8

