dept;UAI;etablissement;type;IPS
18;0180005H;LYCEE GENERAL ALAIN FOURNIER;LEGT;106,9
18;0180006J;LYCEE GENERAL ET TECHNOLOGIQUE MARGUERITE DE NAVARRE;LEGT;117,4
18;0180007K;LYCEE GENERAL ET TECHNOLOGIQUE JACQUES COEUR;LEGT;112,8
18;0180007K;LYCEE PROFESSIONNEL JACQUES COEUR;LP;95
18;0180008L;LYCEE POLYVALENT PIERRE EMILE MARTIN;LPO;105,3
18;0180009M;LYCEE PROFESSIONNEL JEAN DE BERRY;LP;87,6
18;0180010N;LYCEE PROFESSIONNEL JEAN MERMOZ;LP;83,1
18;0180024D;LYCEE GENERAL ET TECHNOLOGIQUE JEAN MOULIN;LEGT;106,8
18;0180024D;LYCEE PROFESSIONNEL JEAN MOULIN;LP;84,9
18;0180025E;LYCEE PROFESSIONNEL JEAN GUEHENNO;LP;91,1
18;0180035R;LYCEE POLYVALENT EDOUARD VAILLANT;LPO;95,9
18;0180036S;LYCEE POLYVALENT HENRI BRISSON;LPO;98
18;0180585N;LYCEE D ENSEIGNEMENT GENERAL ET TECHNOLOGIQUE AGRICOLE DU  LE SUBDRAY;LA;102,4
18;0180823X;LYCEE PROFESSIONNEL VAUVERT;LP;90,1
28;0280007F;LYCEE GENERAL MARCEAU;LEGT;126,3
28;0280009H;LYCEE PROFESSIONNEL PHILIBERT DE L ORME;LP;87
28;0280015P;LYCEE GENERAL ET TECHNOLOGIQUE EMILE ZOLA;LEGT;106,6
28;0280019U;LYCEE GENERAL ET TECHNOLOGIQUE ROTROU;LEGT;104,9
28;0280021W;LYCEE POLYVALENT EDOUARD BRANLY;LPO;102,7
28;0280022X;LYCEE PROFESSIONNEL MAURICE VIOLLETTE;LP;85,2
28;0280036M;LYCEE POLYVALENT REMI BELLEAU;LPO;107,6
28;0280044W;LYCEE POLYVALENT JEHAN DE BEAUCE;LPO;106,9
28;0280659P;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE FRANCOIS TRUFFAUT;EREA;79,3
28;0280700J;LYCEE PROFESSIONNEL JEAN FELIX PAULSEN;LP;82,8
28;0280706R;LYCEE D ENSEIGNEMENT GENERAL ET TECHNOLOGIQUE AGRICOLE LA SAUSSAYE;LA;109,6
28;0280864M;LYCEE PROFESSIONNEL ELSA TRIOLET;LP;89,7
28;0280925D;LYCEE PROFESSIONNEL GILBERT COURTOIS;LP;84,8
28;0281021H;LYCEE PROFESSIONNEL SULLY;LP;93,1
28;0281047L;LYCEE GENERAL ET TECHNOLOGIQUE FULBERT;LEGT;109,5
28;0281077U;LYCEE POLYVALENT SILVIA MONFORT;LPO;105,5
28;028XXXXXX;LYCEE POLYVALENT JOSEPHINE BAKER;LPO;118,9
36;0360002G;LYCEE GENERAL ROLLINAT;LEGT;110,5
36;0360003H;LYCEE PROFESSIONNEL CHATEAUNEUF;LP;86,6
36;0360005K;LYCEE POLYVALENT PASTEUR;LPO;100,3
36;0360008N;LYCEE GENERAL JEAN GIRAUDOUX;LEGT;118
36;0360009P;LYCEE GENERAL ET TECHNOLOGIQUE PIERRE ET MARIE CURIE;LEGT;105,1
36;0360011S;LYCEE PROFESSIONNEL LES CHARMILLE;LP;83,8
36;0360017Y;LYCEE D ENSEIGNEMENT GENERAL ET TECHNOLOGIQUE AGRICOLE DE  CHATEAUROUX NATURAPOLIS;LA;102,7
36;0360019A;LYCEE POLYVALENT GEORGE SAND;LPO;101,4
36;0360024F;LYCEE POLYVALENT BALZAC D ALEMBERT;LPO;96,1
36;0360043B;LYCEE POLYVALENT BLAISE PASCAL;LPO;93,3
36;0360050J;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE ERIC TABARLY;EREA;71,9
37;0370001A;LYCEE GENERAL ET TECHNOLOGIQUE LEONARD DE VINCI;LEGT;117,5
37;0370009J;LYCEE POLYVALENT FRANCOIS RABELAIS;LPO;111,8
37;0370016S;LYCEE POLYVALENT THERESE PLANIOL;LPO;107,9
37;0370032J;LYCEE PROFESSIONNEL FRANCOIS CLOUET;LP;91,4
37;0370035M;LYCEE GENERAL DESCARTES TOURS;LEGT;132,9
37;0370036N;LYCEE GENERAL ET TECHNOLOGIQUE BALZAC;LEGT;120,1
37;0370037P;LYCEE GENERAL ET TECHNOLOGIQUE CHOISEUL;LEGT;111,2
37;0370038R;LYCEE GENERAL ET TECHNOLOGIQUE GRANDMONT TOURS;LEGT;117,9
37;0370039S;LYCEE GENERAL ET TECHNOLOGIQUE PAUL LOUIS COURIER;LEGT;120,9
37;0370053G;LYCEE PROFESSIONNEL GUSTAVE EIFFEL;LP;91,7
37;0370054H;LYCEE PROFESSIONNEL MARTIN NADAUD;LP;88
37;0370771M;LYCEE PROFESSIONNEL VICTOR LALOUX;LP;92,6
37;0370781Y;LYCEE  AGRICOLE DE TOURS  FONDETTES;LA;113,3
37;0370794M;LYCEE PROFESSIONNEL AGRICOLE DE CHAMBRAY LES TOURS;LA;82
37;0370878D;LYCEE PROFESSIONNEL AGRICOLE D AMBOISE;LA;103,9
37;0370888P;LYCEE PROFESSIONNEL D ARSONVAL;LP;100,2
37;0371099U;LYCEE PROFESSIONNEL HENRI BECQUEREL;LP;91,9
37;0371100V;LYCEE PROFESSIONNEL JOSEPH CUGNOT;LP;88,7
37;0371123V;LYCEE PROFESSIONNEL JEAN CHAPTAL;LP;92
37;0371211R;LYCEE PROFESSIONNEL BEAUREGARD;LP;88,2
37;0371417P;LYCEE GENERAL ET TECHNOLOGIQUE JEAN MONNET;LEGT;114,9
37;0371418R;LYCEE GENERAL ET TECHNOLOGIQUE JACQUES DE VAUCANSON;LEGT;125,3
41;0410001D;LYCEE POLYVALENT AUGUSTIN THIERRY;LPO;104,2
41;0410002E;LYCEE GENERAL ET TECHNOLOGIQUE F PHILIBERT DESSAIGNES;LEGT;115,9
41;0410017W;LYCEE GENERAL ET TECHNOLOGIQUE CLAUDE DE FRANCE;LEGT;103,9
41;0410018X;LYCEE D ENSEIGNEMENT GENERAL ET TECHNOLOGIQUE AGRICOLE DE  VENDOME;LA;101,5
41;0410030K;LYCEE GENERAL ET TECHNOLOGIQUE RONSARD;LEGT;112,8
41;0410031L;LYCEE PROFESSIONNEL ANDRE AMPERE;LP;92,9
41;0410036S;LYCEE PROFESSIONNEL DENIS PAPIN;LP;84,6
41;0410626H;LYCEE D ENSEIGNEMENT GENERAL ET TECHNOLOGIQUE AGRICOLE DE  MONTOIRE SUR LE LOIR;LA;96,3
41;0410718H;LYCEE PROFESSIONNEL VAL DE CHER;LP;88,7
41;0410832G;LYCEE PROFESSIONNEL SONIA DELAUNAY;LP;89,5
41;0410899E;LYCEE POLYVALENT VAL DE LOIRE;LPO;108,8
41;0410959V;LYCEE GENERAL ET TECHNOLOGIQUE CAMILLE CLAUDEL BLOIS;LEGT;112,5
45;0450027K;LYCEE PROFESSIONNEL AGRICOLE DE BEAUNE LA ROLANDE;LA;101,1
45;0450029M;LYCEE GENERAL ET TECHNOLOGIQUE BERNARD PALISSY;LEGT;101,9
45;0450040Z;LYCEE GENERAL ET TECHNOLOGIQUE EN FORET;LEGT;102,4
45;0450042B;LYCEE GENERAL ET TECHNOLOGIQUE DURZY;LEGT;105,8
45;0450043C;LYCEE PROFESSIONNEL JEANNETTE VERDIER;LP;84,7
45;0450049J;LYCEE GENERAL ET TECHNOLOGIQUE POTHIER;LEGT;114,5
45;0450050K;LYCEE POLYVALENT JEAN ZAY;LPO;108,9
45;0450051L;LYCEE POLYVALENT BENJAMIN FRANKLIN;LPO;101,9
45;0450062Y;LYCEE GENERAL ET TECHNOLOGIQUE DUHAMEL DU MONCEAU;LEGT;100,9
45;0450064A;LYCEE PROFESSIONNEL GAUDIER BRZESKA;LP;96,9
45;0450094H;LYCEE D ENSEIGNEMENT GENERAL ET TECHNOLOGIQUE AGRICOLE LE CHESNOY LES BARRES;LA;114,2
45;0450782F;LYCEE GENERAL ET TECHNOLOGIQUE VOLTAIRE;LEGT;107,6
45;0450786K;LYCEE PROFESSIONNEL PAUL GAUGUIN;LP;85,1
45;0451037H;LYCEE PROFESSIONNEL MARGUERITE AUDOUX;LP;83,1
45;0451067R;LYCEE PROFESSIONNEL JEAN LURCAT;LP;83,9
